0,1,2,3,,,,,
1,1,2,3,4,5,6,7,8
2,(1,2,3,4,5,6,7,8)
3,1,2,3,5,8,13,,
4,1,3,4,7,11,18,,
5,1,3,5,15,,,,
6,1,3,9,,,,,
1,6,9,,,,,
2,3,4,,,,,
3,4,5,,,,,
3,4,6,,,,,
3,5,7,,,,,
3,5,7,9,,,,
3,5,7,15,21,35,,
3,5,9,15,,,,
3,5,9,15,27,45,,
3,7,9,21,,,,
3,7,15,21,,,,
3,9,11,33,,,,
3,9,13,39,,,,
4,5,6,,,,,
4,5,6,7,,,,
4,5,6,7,9,,,
4,5,6,7,9,11,,
4,5,6,7,9,11,13,
4,5,6,7,9,11,13,15
4,5,6,9,,,,
4,5,7,,,,,
4,6,7,,,,,
4,6,7,9,,,,
4,6,7,9,11,,,
4,6,9,,,,,
4,6,9,16,,,,
4,10,14,19,,,,
5,6,7,,,,,
5,6,7,8,,,,
5,6,7,9,,,,
5,6,8,,,,,
5,7,9,,,,,
5,7,9,11,,,,
5,7,9,12,,,,
5,7,9,15,,,,
5,7,15,35,,,,
6,7,8,,,,,
6,7,8,10,,,,
6,7,9,,,,,
6,7,9,10,,,,
6,7,9,11,,,,
6,7,9,11,13,,,
6,7,10,,,,,
6,8,9,,,,,
6,8,9,10,,,,
6,8,9,12,,,,
6,15,21,28,,,,
7,8,10,12,,,,
7,9,11,,,,,
7,9,12,,,,,
7,9,15,,,,,
7,9,15,21,,,,
7,10,12,,,,,
8,9,10,12,,,,
8,9,12,,,,,
8,10,11,12,14,,,
8,10,11,12,13,14,,
8,10,12,14,17,,,
8,10,12,15,,,,
8,10,12,15,18,,,
8,10,13,,,,,
8,10,14,19,,,,
8,10,14,19,23,,,
8,10,15,,,,,
8,11,14,,,,,
8,12,15,,,,,
9,10,12,15,,,,
9,11,13,,,,,
9,11,13,15,,,,
9,12,14,,,,,
9,12,16,,,,,
9,12,16,20,,,,
10,11,12,13,15,,,
10,12,14,17,,,,
10,12,15,,,,,
10,12,15,16,,,,
10,12,15,17,,,,
10,12,15,18,,,,
(3,4,5,7),,,,
(4,5,6,7),,,,
(4,5,6,7,9),,,
(5,6,7,9),,,,
(9,10,13,15),,,,
10,13,15,,,,,
10,13,15,18,,,,
11,13,15,,,,,
12,13,14,16,,,,
12,13,15,16,,,,
12,13,15,16,18,,,
12,13,16,,,,,
12,14,18,21,,,,
12,14,18,21,24,,,
12,14,18,21,27,,,
12,14,21,,,,,
12,15,16,18,,,,
12,15,16,20,,,,
12,15,18,20,,,,
12,15,20,,,,,
12,15,21,28,,,,
12,16,19,,,,,
13,14,16,,,,,
13,18,23,,,,,
14,15,17,19,20,21,,
14,17,20,23,,,,
14,17,21,,,,,
14,18,21,,,,,
14,18,21,24,,,,
14,18,21,27,,,,
14,21,24,,,,,
15,16,20,24,,,,
15,18,20,24,,,,
15,18,20,25,,,,
15,18,21,25,,,,
15,20,24,,,,,
16,18,20,24,27,,,
16,18,21,25,28,,,
16,19,24,,,,,
16,20,24,27,36,,,
16,20,24,27,36,45,,
16,20,25,,,,,
16,20,25,28,,,,
16,20,25,30,,,,
16,21,24,28,,,,
17,21,28,,,,,
18,22,27,,,,,
18,22,27,30,33,,,
18,22,27,33,,,,
18,23,27,,,,,
19,24,32,,,,,
20,24,30,35,,,,
20,24,30,36,45,,,
20,25,30,36,,,,
20,25,30,36,45,,,
20,25,30,36,45,54,,
20,25,28,35,,,,
20,28,35,,,,,
21,23,25,28,,,,
21,24,26,28,,,,
21,24,27,28,,,,
21,25,30,35,,,,
21,27,35,,,,,
21,28,34,,,,,
21,30,35,,,,,
22,24,26,28,33,,,
22,26,33,,,,,
22,26,33,39,,,,
22,28,33,,,,,
24,27,29,34,36,,,
24,27,30,32,,,,
24,27,30,36,40,45,,
24,27,32,36,,,,
24,28,30,35,40,42,,
24,32,45,,,,,
24,33,40,,,,,
25,30,35,42,,,,
25,30,36,,,,,
25,30,36,45,,,,
25,30,40,48,,,,
26,30,39,,,,,
26,32,39,,,,,
26,33,39,,,,,
26,33,39,44,,,,
27,36,48,64,,,,
28,33,42,,,,,
28,35,40,,,,,
30,32,36,40,45,,,
30,35,42,,,,,
30,35,42,50,,,,
30,39,45,52,,,,
32,36,39,45,48,,,
32,36,45,54,,,,
32,37,48,,,,,
32,39,48,,,,,
32,41,48,,,,,
33,36,42,44,,,,
34,36,42,45,,,,
34,38,51,,,,,
34,42,51,,,,,
35,42,50,60,,,,
35,42,60,,,,,
36,39,44,48,,,,
36,45,54,64,,,,
38,48,57,,,,,
38,51,57,,,,,
39,44,49,52,,,,
39,45,52,,,,,
40,45,48,56,60,,,
40,45,50,56,60,,,
40,45,50,60,72,,,
42,45,48,56,63,,,
42,45,51,56,63,,,
42,46,50,54,63,,,
42,46,50,55,63,,,
42,46,50,54,55,63,,
42,46,50,56,63,,,
42,48,51,56,63,,,
42,49,60,,,,,
42,51,68,,,,,
42,52,63,,,,,
44,48,52,56,57,66,,
44,55,70,,,,,
44,56,66,77,,,,
45,48,56,60,,,,
46,54,69,,,,,
46,54,69,81,,,,
46,56,69,,,,,
48,54,56,63,,,,
48,54,56,63,72,,,
48,54,57,64,,,,
48,54,57,64,72,,,
48,54,58,67,72,,,
49,56,64,,,,,
51,54,60,68,,,,
52,63,78,,,,,
52,63,84,,,,,
54,56,63,72,,,,
54,58,67,72,,,,
54,58,67,72,81,,,
54,64,81,,,,,
54,64,81,96,,,,
54,69,81,92,,,,
55,65,77,,,,,
56,63,72,78,84,,,
56,66,84,99,,,,
56,69,84,,,,,
60,64,72,79,90,,,
60,66,71,80,90,,,
63,78,91,104,,,,
63,81,91,,,,,
64,81,96,,,,,
64,81,96,108,,,,
65,78,100,,,,,
66,72,78,88,99,,,
66,72,81,88,,,,
66,84,99,112,,,,
70,77,91,100,,,,
70,84,105,120,,,,
70,90,105,126,,,,
72,79,89,96,,,,
72,81,88,96,,,,
72,81,88,96,108,,,
72,81,104,,,,,
72,81,104,117,,,,
72,81,112,126,,,,
74,96,111,,,,,
78,84,96,104,117,,,
78,91,108,,,,,
81,88,96,108,,,,
88,99,108,126,132,,,
90,96,112,120,135,,,
91,112,130,,,,,
96,105,114,124,126,144,,
96,105,114,128,,,,
96,105,114,128,144,,,
102,108,120,136,153,,,
114,122,138,150,171,,,
120,135,144,160,180,,,
120,135,152,160,,,,
120,140,165,192,,,,
126,162,189,224,,,,
130,169,220,,,,,
132,143,156,176,,,,
132,147,156,176,,,,
132,147,156,176,198,,,
135,160,192,225,,,,
143,169,198,,,,,
143,169,198,234,,,,
143,169,220,,,,,
150,162,189,200,,,,
150,162,189,200,225,,,
160,192,225,270,,,,
165,195,231,275,,,,
192,225,270,320,,,,
225,270,320,384,,,,
330,385,450,528,,,,
600,675,744,800,,,,
600,675,744,800,900,,,
660,770,840,924,1155,,,
1001,1155,1365,1573,,,,
2197,2535,2925,3375,,,,
8580,9240,10010,10920,12012,15015,,
13122,16384,19683,,,,,
16384,19683,24576,,,,,
,,,,,,,
